Value,Description,Symbol,Footprint,Datasheet,Manufacturer,MPN,Digikey_PN,Mouser_PN,LCSC_PN,Misc_Distributor,Misc_PN,Misc_Link,Tolerance,Rating,Package,Notes
B2B-XH-A,"Connector Header Through Hole 2 position 0.098"" (2.50mm)",Connector:Conn_01x02_Pin,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,https://www.jst-mfg.com/product/pdf/eng/eXH.pdf,JST Sales America Inc.,B2B-XH-A,455-B2B-XH-A-ND,,,,,,,,,
B2B-PH-K-S,"Connector Header Through Hole 2 position 0.079"" (2.00mm)",Connector:Conn_01x02_Pin,Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,https://www.jst-mfg.com/product/pdf/eng/ePH.pdf,JST Sales America Inc.,B2B-PH-K-S,455-1704-ND,,,,,,,,,
